episode,duration_seconds
1,0.20924687385559082
2,0.16924023628234863
3,0.02974700927734375
4,0.06078386306762695
5,0.39247655868530273
6,0.582211971282959
7,0.17638754844665527
8,0.2306828498840332
9,0.5195481777191162
10,0.0531158447265625
11,0.38802289962768555
12,0.336517333984375
13,0.29962658882141113
14,0.16621875762939453
15,0.6802623271942139
16,0.39371633529663086
17,0.1255354881286621
18,1.0849888324737549
19,0.7526047229766846
20,0.20739316940307617
21,0.24454641342163086
22,0.4491453170776367
23,0.05180931091308594
24,0.08431887626647949
25,0.4873354434967041
26,0.5597121715545654
27,0.17095375061035156
28,0.41335511207580566
29,0.0609128475189209
30,0.3536043167114258
31,0.15521574020385742
32,0.9668214321136475
33,0.23198723793029785
34,0.2785663604736328
35,0.43898463249206543
36,0.03204822540283203
37,0.3886404037475586
38,0.14503931999206543
39,0.03147482872009277
40,0.051653146743774414
41,0.27736544609069824
42,0.020467758178710938
43,0.05058145523071289
44,0.07294940948486328
45,0.7609333992004395
46,0.05179119110107422
47,0.5046486854553223
48,0.04083895683288574
49,0.09336996078491211
50,0.0311434268951416
51,0.09331226348876953
52,0.19544649124145508
53,0.15588617324829102
54,0.11199021339416504
55,0.37972021102905273
56,0.07516026496887207
57,0.41378164291381836
58,0.10515260696411133
59,0.08322739601135254
60,0.019805431365966797
61,0.08561825752258301
62,0.07569694519042969
63,0.08248209953308105
64,0.18963956832885742
65,0.6032283306121826
66,0.12551021575927734
67,0.1659984588623047
68,0.22117161750793457
69,0.061640024185180664
70,0.42742419242858887
71,0.04023265838623047
72,0.49132776260375977
73,0.20656609535217285
74,0.11107563972473145
75,0.44890832901000977
76,0.3347465991973877
77,0.18288016319274902
78,0.05317878723144531
79,0.3412301540374756
80,0.20770573616027832
81,0.11697745323181152
82,0.14669227600097656
83,0.10286974906921387
84,0.09453368186950684
85,0.06309032440185547
86,0.15655040740966797
87,0.22594547271728516
88,0.02026510238647461
89,0.021861791610717773
90,0.1878957748413086
91,0.06105613708496094
92,0.03075551986694336
93,0.4261345863342285
94,0.08144235610961914
95,0.27727556228637695
96,0.13499784469604492
97,0.053288936614990234
98,0.16806602478027344
99,0.15349483489990234
100,0.03167843818664551
101,0.11446046829223633
102,0.17952585220336914
103,0.0628657341003418
104,0.2078855037689209
105,0.0404660701751709
106,0.05272984504699707
107,0.38443613052368164
108,0.08409690856933594
109,0.16843128204345703
110,0.030077219009399414
111,0.06199979782104492
112,0.0727238655090332
113,0.3428030014038086
114,0.26176953315734863
115,0.12535476684570312
116,0.16789484024047852
117,0.21766304969787598
118,0.1563882827758789
